"IPAddress","Port","User","BindType"
"172.17.91.1","58817","IHLE\compdata","Simple"
"172.17.91.1","58806","IHLE\compdata","Simple"
"172.17.91.1","58805","IHLE\compdata","Simple"
"172.17.91.1","58804","IHLE\compdata","Simple"
"172.17.91.1","58803","IHLE\compdata","Simple"
"172.17.91.1","58802","IHLE\compdata","Simple"
"172.17.91.1","58775","IHLE\compdata","Simple"
"172.17.91.1","58774","IHLE\compdata","Simple"
"172.17.91.1","58773","IHLE\compdata","Simple"
"172.17.91.1","58772","IHLE\compdata","Simple"
"172.17.91.1","58771","IHLE\compdata","Simple"
"172.17.91.1","58746","IHLE\compdata","Simple"
"172.17.91.1","58744","IHLE\compdata","Simple"
"172.17.91.1","58742","IHLE\compdata","Simple"
"172.17.91.1","58741","IHLE\compdata","Simple"
"172.17.91.1","58740","IHLE\compdata","Simple"
"172.17.91.1","58726","IHLE\compdata","Simple"
"172.17.91.1","58725","IHLE\compdata","Simple"
"172.17.91.1","58724","IHLE\compdata","Simple"
"172.17.91.1","58723","IHLE\compdata","Simple"
"172.17.91.1","58722","IHLE\compdata","Simple"
"172.17.91.1","58626","IHLE\compdata","Simple"
"172.17.91.1","58625","IHLE\compdata","Simple"
"172.17.91.1","58624","IHLE\compdata","Simple"
"172.17.91.1","58623","IHLE\compdata","Simple"
"172.17.91.1","58622","IHLE\compdata","Simple"
"172.17.91.1","58618","IHLE\compdata","Simple"
"172.17.91.1","58617","IHLE\compdata","Simple"
"172.17.91.1","58616","IHLE\compdata","Simple"
"172.17.91.1","58615","IHLE\compdata","Simple"
"172.17.91.1","58614","IHLE\compdata","Simple"
"172.17.91.1","58606","IHLE\compdata","Simple"
"172.17.91.1","58605","IHLE\compdata","Simple"
"172.17.91.1","58604","IHLE\compdata","Simple"
"172.17.91.1","58603","IHLE\compdata","Simple"
"172.17.91.1","58602","IHLE\compdata","Simple"
"172.17.91.1","58421","IHLE\compdata","Simple"
"172.17.91.1","58420","IHLE\compdata","Simple"
"172.17.91.1","58419","IHLE\compdata","Simple"
"172.17.91.1","58418","IHLE\compdata","Simple"
"172.17.91.1","58417","IHLE\compdata","Simple"
"172.17.91.1","58407","IHLE\compdata","Simple"
"172.17.91.1","58406","IHLE\compdata","Simple"
"172.17.91.1","58405","IHLE\compdata","Simple"
"172.17.91.1","58404","IHLE\compdata","Simple"
"172.17.91.1","58403","IHLE\compdata","Simple"
"172.17.91.1","58369","IHLE\compdata","Simple"
"172.17.91.1","58367","IHLE\compdata","Simple"
"172.17.91.1","58366","IHLE\compdata","Simple"
"172.17.91.1","58365","IHLE\compdata","Simple"
"172.17.91.1","58364","IHLE\compdata","Simple"
"172.17.91.1","58283","IHLE\compdata","Simple"
"172.17.91.1","58282","IHLE\compdata","Simple"
"172.17.91.1","58281","IHLE\compdata","Simple"
"172.17.91.1","58280","IHLE\compdata","Simple"
"172.17.91.1","58279","IHLE\compdata","Simple"
"172.17.91.1","58197","IHLE\compdata","Simple"
"172.17.91.1","58196","IHLE\compdata","Simple"
"172.17.91.1","58195","IHLE\compdata","Simple"
"172.17.91.1","58194","IHLE\compdata","Simple"
"172.17.91.1","58193","IHLE\compdata","Simple"
"172.17.91.1","58188","IHLE\compdata","Simple"
"172.17.91.1","58187","IHLE\compdata","Simple"
"172.17.91.1","58186","IHLE\compdata","Simple"
